run_id,variance,cv,label
0,1.7596637596386978e-06,1.3609575699934737e-05,GA
1,0.0008994586364080915,0.0003082365756234199,GA
2,2.0194839173657902e-28,1.4622438336021331e-16,GA
3,8.077935669463161e-28,2.9180784508908734e-16,GA
4,0.0,0.0,GA
5,2.0194839173657902e-28,1.4609516423559988e-16,GA
6,0.008525776834467749,0.0009475127164830227,GA
7,8.077935669463161e-28,2.920107622652401e-16,GA
8,2.0194839173657902e-28,1.459673532393164e-16,GA
9,1.4948620530611876e-05,3.97507937667313e-05,GA
10,0.026767615151836427,0.0016791088496455747,GA
11,0.0018195729328168643,0.00043779657364984427,GA
12,8.077935669463161e-28,2.9135417612746064e-16,GA
13,0.004441470685895581,0.0006838673552275735,GA
14,0.0015232624108887124,0.00040068545523278296,GA
0,0.0005109160816326179,0.00023187103739020454,BO
1,0.023946941730713232,0.0015876793386586585,BO
2,8.077935669463161e-28,2.903245917730045e-16,BO
3,8.077935669463161e-28,2.892882213593565e-16,BO
4,0.00017230062040811652,0.0001336281181244065,BO
5,4.108888888781468e-08,2.074933199651053e-06,BO
6,0.006047585669347109,0.0007954724897111997,BO
7,0.0025080582476322863,0.0005126303555397306,BO
8,2.0194839173657902e-28,1.446901669874774e-16,BO
9,0.009990044932629944,0.0010245809496491466,BO
10,0.009142895681841134,0.0009743020625611199,BO
11,8.077935669463161e-28,2.8860559050853014e-16,BO
12,2.0194839173657902e-28,1.4520839943181464e-16,BO
13,2.0194839173657902e-28,1.4434277556821344e-16,BO
14,0.0,0.0,BO
