run_id,trials_to_threshold,label
0,6,GA
1,6,GA
2,6,GA
3,6,GA
4,6,GA
5,6,GA
6,6,GA
7,6,GA
8,6,GA
9,6,GA
10,6,GA
11,6,GA
12,6,GA
13,6,GA
14,6,GA
0,21,BO
1,21,BO
2,21,BO
3,21,BO
4,21,BO
5,21,BO
6,21,BO
7,21,BO
8,21,BO
9,21,BO
10,21,BO
11,21,BO
12,21,BO
13,21,BO
14,21,BO
