group,baseline_stage,baseline_label,variant_stage,variant_label,metric,n_baseline,n_variant,baseline_mean,variant_mean,baseline_std,variant_std,p_value_mannwhitney_raw,cohens_d,cohens_d_ci_lo_95,cohens_d_ci_hi_95,pct_improvement,p_value_mannwhitney_holm,significant_0.05_holm,significant_0.01_holm
mechanisms,stage3_hybrid,Minimal Hybrid (evolve CNN + bp),stage4a_Stabilized_hybrid,Minimal Hybrid + Trimmed Mean + HoF,final_best,15,15,84.91241946666666,85.02999793333333,0.6538751800052042,0.8087575399879432,0.8034625743147712,0.15988256878616822,-0.5642103379521861,0.9149188098538773,0.1384702819742738,1.0,False,False
mechanisms,stage3_hybrid,Minimal Hybrid (evolve CNN + bp),stage4b_Adaptive_hybrid,Minimal Hybrid + Trimmed Mean + HoF + Adaptive Mutation,final_best,15,15,84.91241946666666,85.10396899999999,0.6538751800052042,0.9187766973171454,0.7400217511938185,0.24021669358496694,-0.5208956073006553,0.9038460440168471,0.225584825560794,1.0,False,False
