ts,optimizer,space,trial,run_id,params_json,fitness,best_so_far
2025-10-15T05:05:04.878640Z,BO,Vision-8,16,0,"{""lane_kp_off"": 0.724273260529288, ""lane_kp_head"": 0.0830543444785298, ""lane_kp_curv"": 0.1462447063962124, ""curv_thr_slow"": 0.9240121836869801, ""lane_conf_thr"": 0.7411468235964025, ""canny_scale"": 1.290178530947034, ""hough_threshold"": 15, ""diag_roi_row_start"": 0.6193077128774345}",41.422372,82.863479
2025-10-15T05:05:43.282900Z,BO,Vision-8,17,0,"{""lane_kp_off"": 0.6455749473097434, ""lane_kp_head"": 0.15774802158110993, ""lane_kp_curv"": 0.36553651792227854, ""curv_thr_slow"": 0.4932828173150578, ""lane_conf_thr"": 0.560419140700154, ""canny_scale"": 1.2195186749819587, ""hough_threshold"": 30, ""diag_roi_row_start"": 0.47380973711340474}",45.047125,82.863479
2025-10-15T05:06:27.277342Z,BO,Vision-8,18,0,"{""lane_kp_off"": 0.3426778197607594, ""lane_kp_head"": 0.08181714381857108, ""lane_kp_curv"": 0.2253182452593674, ""curv_thr_slow"": 0.9573162871546248, ""lane_conf_thr"": 0.2559960262218925, ""canny_scale"": 0.8781164652884077, ""hough_threshold"": 29, ""diag_roi_row_start"": 0.6207011194290586}",58.728903,82.863479
2025-10-15T05:07:08.320694Z,BO,Vision-8,19,0,"{""lane_kp_off"": 0.3659295980188896, ""lane_kp_head"": 0.3014103963192458, ""lane_kp_curv"": 0.37093107592101865, ""curv_thr_slow"": 0.3582948394131225, ""lane_conf_thr"": 0.6252184372656477, ""canny_scale"": 1.20354600868305, ""hough_threshold"": 13, ""diag_roi_row_start"": 0.6842993813999871}",50.568765,82.863479
2025-10-15T05:07:55.328485Z,BO,Vision-8,20,0,"{""lane_kp_off"": 0.22922929338328155, ""lane_kp_head"": 0.12258790133182292, ""lane_kp_curv"": 0.3326307326748415, ""curv_thr_slow"": 0.4336706059292589, ""lane_conf_thr"": 0.5989234692819767, ""canny_scale"": 1.2327140756057338, ""hough_threshold"": 24, ""diag_roi_row_start"": 0.5820983629996227}",71.132321,82.863479
2025-10-15T05:08:44.023952Z,BO,Vision-8,21,0,"{""lane_kp_off"": 0.05321156081893143, ""lane_kp_head"": 0.003868914809064136, ""lane_kp_curv"": 0.4913163286174155, ""curv_thr_slow"": 1.453638842921587, ""lane_conf_thr"": 0.3965859767803689, ""canny_scale"": 1.118704796991068, ""hough_threshold"": 25, ""diag_roi_row_start"": 0.7038902882865425}",76.394927,82.863479
2025-10-15T05:09:33.122319Z,BO,Vision-8,22,0,"{""lane_kp_off"": 0.017254614666287665, ""lane_kp_head"": 0.004031390863254065, ""lane_kp_curv"": 0.4961422118967451, ""curv_thr_slow"": 1.4558734466881131, ""lane_conf_thr"": 0.3919282618629173, ""canny_scale"": 1.132796308930346, ""hough_threshold"": 26, ""diag_roi_row_start"": 0.6983083644589351}",77.207571,82.863479
2025-10-15T05:10:22.119953Z,BO,Vision-8,23,0,"{""lane_kp_off"": 0.012260232064242982, ""lane_kp_head"": 0.006585035148302387, ""lane_kp_curv"": 0.2794194075941856, ""curv_thr_slow"": 1.4981628539884007, ""lane_conf_thr"": 0.3929850793963061, ""canny_scale"": 1.1480305247409572, ""hough_threshold"": 26, ""diag_roi_row_start"": 0.706860192710287}",76.847727,82.863479
2025-10-15T05:11:10.833832Z,BO,Vision-8,24,0,"{""lane_kp_off"": 0.13751665628207616, ""lane_kp_head"": 0.38817604808111844, ""lane_kp_curv"": 0.4998531312770162, ""curv_thr_slow"": 1.3390538003564734, ""lane_conf_thr"": 0.3000769172063642, ""canny_scale"": 1.1680288963867103, ""hough_threshold"": 21, ""diag_roi_row_start"": 0.63540094748326}",76.422142,82.863479
2025-10-15T05:12:01.267349Z,BO,Vision-8,25,0,"{""lane_kp_off"": 0.18807392538887535, ""lane_kp_head"": 0.06598531174077576, ""lane_kp_curv"": 0.303420729232645, ""curv_thr_slow"": 1.167530617866275, ""lane_conf_thr"": 0.20008871145490686, ""canny_scale"": 1.2985918169664323, ""hough_threshold"": 27, ""diag_roi_row_start"": 0.6828160675353706}",80.203427,82.863479
2025-10-15T05:12:51.533864Z,BO,Vision-8,26,0,"{""lane_kp_off"": 0.18991676421735215, ""lane_kp_head"": 0.0754852544339809, ""lane_kp_curv"": 0.30689084005875156, ""curv_thr_slow"": 1.1343696293206342, ""lane_conf_thr"": 0.21181016254849097, ""canny_scale"": 1.2836107402614285, ""hough_threshold"": 22, ""diag_roi_row_start"": 0.6331363740101268}",79.021696,82.863479
2025-10-15T05:13:39.780604Z,BO,Vision-8,27,0,"{""lane_kp_off"": 0.09314904804450155, ""lane_kp_head"": 0.21162899465302937, ""lane_kp_curv"": 0.32836370587601715, ""curv_thr_slow"": 1.0950944168951244, ""lane_conf_thr"": 0.6852704757625444, ""canny_scale"": 1.2725015647974809, ""hough_threshold"": 27, ""diag_roi_row_start"": 0.7249451228880368}",75.868115,82.863479
2025-10-15T05:14:27.932025Z,BO,Vision-8,28,0,"{""lane_kp_off"": 0.18261433819458706, ""lane_kp_head"": 0.044905870308817014, ""lane_kp_curv"": 0.2510324998779783, ""curv_thr_slow"": 1.2614729004584138, ""lane_conf_thr"": 0.4545970490681993, ""canny_scale"": 1.1759702258569542, ""hough_threshold"": 27, ""diag_roi_row_start"": 0.6009031896285764}",73.153341,82.863479
2025-10-15T05:15:13.372344Z,BO,Vision-8,29,0,"{""lane_kp_off"": 0.27865622599632317, ""lane_kp_head"": 0.20922500686129084, ""lane_kp_curv"": 0.29386535543588577, ""curv_thr_slow"": 1.361399631872838, ""lane_conf_thr"": 0.20014830728078545, ""canny_scale"": 1.271574827468258, ""hough_threshold"": 23, ""diag_roi_row_start"": 0.6805532342266739}",68.149378,82.863479
2025-10-15T05:16:00.780457Z,BO,Vision-8,30,0,"{""lane_kp_off"": 0.1892971549690826, ""lane_kp_head"": 0.10758915259474569, ""lane_kp_curv"": 0.2401017903251491, ""curv_thr_slow"": 1.2085001725838302, ""lane_conf_thr"": 0.33622838177342584, ""canny_scale"": 0.985409002578724, ""hough_threshold"": 24, ""diag_roi_row_start"": 0.6521120005636437}",71.287734,82.863479
2025-10-15T05:16:49.228002Z,BO,Vision-8,31,0,"{""lane_kp_off"": 0.07936546358519142, ""lane_kp_head"": 0.10324987445765726, ""lane_kp_curv"": 0.40874814346096255, ""curv_thr_slow"": 1.0581540119806674, ""lane_conf_thr"": 0.6726930906448212, ""canny_scale"": 1.2514519503223984, ""hough_threshold"": 28, ""diag_roi_row_start"": 0.5210003459402792}",76.19456,82.863479
2025-10-15T05:17:36.579655Z,BO,Vision-8,32,0,"{""lane_kp_off"": 0.20133414211039707, ""lane_kp_head"": 0.0761347377663637, ""lane_kp_curv"": 0.32419758444912894, ""curv_thr_slow"": 1.1310434662353368, ""lane_conf_thr"": 0.20166696484463573, ""canny_scale"": 1.286892486137225, ""hough_threshold"": 21, ""diag_roi_row_start"": 0.6325755315734285}",71.32318,82.863479
2025-10-15T05:18:23.372783Z,BO,Vision-8,33,0,"{""lane_kp_off"": 0.1853913772348674, ""lane_kp_head"": 0.06703370972916574, ""lane_kp_curv"": 0.3035609122279645, ""curv_thr_slow"": 0.8401592812637112, ""lane_conf_thr"": 0.24851335828397406, ""canny_scale"": 1.299986065462134, ""hough_threshold"": 22, ""diag_roi_row_start"": 0.661592065087649}",69.801542,82.863479
2025-10-15T05:19:05.332909Z,BO,Vision-8,34,0,"{""lane_kp_off"": 0.2941559570170853, ""lane_kp_head"": 0.1349205785854134, ""lane_kp_curv"": 0.3546044760818371, ""curv_thr_slow"": 1.1603058802303605, ""lane_conf_thr"": 0.25643822235592406, ""canny_scale"": 1.1855209723146871, ""hough_threshold"": 19, ""diag_roi_row_start"": 0.6380750652094337}",57.134633,82.863479
2025-10-15T05:19:51.529392Z,BO,Vision-8,35,0,"{""lane_kp_off"": 0.4091351240636735, ""lane_kp_head"": 0.17859524667180368, ""lane_kp_curv"": 0.2034358115379497, ""curv_thr_slow"": 1.2167231850247697, ""lane_conf_thr"": 0.48364549401701906, ""canny_scale"": 1.2348077779292441, ""hough_threshold"": 25, ""diag_roi_row_start"": 0.6783949601616712}",66.094496,82.863479
2025-10-15T05:20:39.381059Z,BO,Vision-8,36,0,"{""lane_kp_off"": 0.15862441810418504, ""lane_kp_head"": 0.03145747233450855, ""lane_kp_curv"": 0.26585393892911163, ""curv_thr_slow"": 1.0303905999392982, ""lane_conf_thr"": 0.7927650464290845, ""canny_scale"": 1.256782937946538, ""hough_threshold"": 20, ""diag_roi_row_start"": 0.6122781209323511}",74.847264,82.863479
2025-10-15T05:21:20.431284Z,BO,Vision-8,37,0,"{""lane_kp_off"": 0.3010766520844361, ""lane_kp_head"": 0.05937272934010741, ""lane_kp_curv"": 0.3106140338129844, ""curv_thr_slow"": 1.3798921213514304, ""lane_conf_thr"": 0.29061656061508157, ""canny_scale"": 1.089272076141793, ""hough_threshold"": 22, ""diag_roi_row_start"": 0.5832677996834059}",54.802314,82.863479
2025-10-15T05:22:08.680497Z,BO,Vision-8,38,0,"{""lane_kp_off"": 0.06169921275380916, ""lane_kp_head"": 0.09500467742973966, ""lane_kp_curv"": 0.39753310640533734, ""curv_thr_slow"": 0.8508772776191221, ""lane_conf_thr"": 0.43442471080767553, ""canny_scale"": 1.1564049767190743, ""hough_threshold"": 24, ""diag_roi_row_start"": 0.6444730930579226}",74.980881,82.863479
2025-10-15T05:23:00.574029Z,BO,Vision-8,39,0,"{""lane_kp_off"": 0.21735580553788786, ""lane_kp_head"": 0.13966435464438842, ""lane_kp_curv"": 0.45327772949526435, ""curv_thr_slow"": 1.2755806509470804, ""lane_conf_thr"": 0.3438524381693441, ""canny_scale"": 0.7160308982588934, ""hough_threshold"": 19, ""diag_roi_row_start"": 0.6692504266338303}",82.955286,82.955286
