ts,optimizer,space,trial,run_id,params_json,fitness,best_so_far
2025-10-15T06:23:10.084644Z,GA,Vision-8,16,0,"{""lane_kp_off"": 0.14510520549423267, ""lane_kp_head"": 0.4, ""lane_kp_curv"": 0.23589741493221802, ""curv_thr_slow"": 0.6609677106916453, ""lane_conf_thr"": 0.7437606036532314, ""canny_scale"": 1.2268404753641962, ""hough_threshold"": 21, ""diag_roi_row_start"": 0.5677136824565746}",76.760262,76.760262
2025-10-15T06:23:58.739043Z,GA,Vision-8,17,0,"{""lane_kp_off"": 0.0006696765118773471, ""lane_kp_head"": 0.3429196195733965, ""lane_kp_curv"": 0.03491989124871601, ""curv_thr_slow"": 0.8153977301267289, ""lane_conf_thr"": 0.40333389619046195, ""canny_scale"": 1.0527801333493259, ""hough_threshold"": 27, ""diag_roi_row_start"": 0.5320898311228844}",76.289881,76.760262
2025-10-15T06:24:44.779461Z,GA,Vision-8,18,0,"{""lane_kp_off"": 0.30156034917198205, ""lane_kp_head"": 0.04437011519730755, ""lane_kp_curv"": 0.12556064517699772, ""curv_thr_slow"": 1.2417280080415993, ""lane_conf_thr"": 0.6328578559953814, ""canny_scale"": 1.1049897760923661, ""hough_threshold"": 30, ""diag_roi_row_start"": 0.6935774952002576}",67.474257,76.760262
2025-10-15T06:25:33.136242Z,GA,Vision-8,19,0,"{""lane_kp_off"": 0.13822538702374798, ""lane_kp_head"": 0.34772702254504045, ""lane_kp_curv"": 0.16375254544222043, ""curv_thr_slow"": 0.42892941815469526, ""lane_conf_thr"": 0.5619679335481846, ""canny_scale"": 1.1744764246957409, ""hough_threshold"": 19, ""diag_roi_row_start"": 0.4985820916793065}",75.632421,76.760262
2025-10-15T06:26:12.344201Z,GA,Vision-8,20,0,"{""lane_kp_off"": 0.7335384624556799, ""lane_kp_head"": 0.35133993470643554, ""lane_kp_curv"": 0.3409236799900935, ""curv_thr_slow"": 0.347731161141186, ""lane_conf_thr"": 0.7653768267548678, ""canny_scale"": 0.8090635125762995, ""hough_threshold"": 20, ""diag_roi_row_start"": 0.6368724802130591}",47.777434,76.760262
2025-10-15T06:27:00.341548Z,GA,Vision-8,21,0,"{""lane_kp_off"": 0.07640552965591586, ""lane_kp_head"": 0.3223372320523663, ""lane_kp_curv"": 0.091354099523551, ""curv_thr_slow"": 1.2576325950916647, ""lane_conf_thr"": 0.4760364154854714, ""canny_scale"": 0.9227341961170397, ""hough_threshold"": 13, ""diag_roi_row_start"": 0.4646085358114657}",75.695881,76.760262
2025-10-15T06:27:49.928693Z,GA,Vision-8,22,0,"{""lane_kp_off"": 0.2117128473572516, ""lane_kp_head"": 0.2450757124038242, ""lane_kp_curv"": 0.13325523578226828, ""curv_thr_slow"": 0.8317114325030065, ""lane_conf_thr"": 0.5713948709737412, ""canny_scale"": 1.0709988940583228, ""hough_threshold"": 19, ""diag_roi_row_start"": 0.570979549381268}",78.943545,78.943545
2025-10-15T06:28:38.128868Z,GA,Vision-8,23,0,"{""lane_kp_off"": 0.07172237308083461, ""lane_kp_head"": 0.35117816080796965, ""lane_kp_curv"": 0.059322940437921454, ""curv_thr_slow"": 0.49885886081326974, ""lane_conf_thr"": 0.46802069261516555, ""canny_scale"": 1.1457465982066386, ""hough_threshold"": 29, ""diag_roi_row_start"": 0.4989500384455741}",75.819842,78.943545
2025-10-15T06:29:17.043134Z,GA,Vision-8,24,0,"{""lane_kp_off"": 0.5821163286672243, ""lane_kp_head"": 0.24661225905258688, ""lane_kp_curv"": 0.033812277066905747, ""curv_thr_slow"": 0.8769348428375137, ""lane_conf_thr"": 0.3758831040297459, ""canny_scale"": 1.003428893632247, ""hough_threshold"": 27, ""diag_roi_row_start"": 0.5456043810595234}",47.414041,78.943545
2025-10-15T06:30:02.892902Z,GA,Vision-8,25,0,"{""lane_kp_off"": 0.26955019544470105, ""lane_kp_head"": 0.045390977353774495, ""lane_kp_curv"": 0.08626616308609056, ""curv_thr_slow"": 0.6375073546089934, ""lane_conf_thr"": 0.5744334666337991, ""canny_scale"": 0.9590352561876919, ""hough_threshold"": 26, ""diag_roi_row_start"": 0.5251724752775175}",67.032592,78.943545
2025-10-15T06:30:51.484790Z,GA,Vision-8,26,0,"{""lane_kp_off"": 0.040311247529847244, ""lane_kp_head"": 0.3140362274087693, ""lane_kp_curv"": 0.045413723837396475, ""curv_thr_slow"": 0.842422437006983, ""lane_conf_thr"": 0.4333602084049067, ""canny_scale"": 1.211411926696109, ""hough_threshold"": 30, ""diag_roi_row_start"": 0.5337344097520739}",76.432563,78.943545
2025-10-15T06:31:33.494086Z,GA,Vision-8,27,0,"{""lane_kp_off"": 0.35814919556322816, ""lane_kp_head"": 0.36383734679094665, ""lane_kp_curv"": 0.28489565531992916, ""curv_thr_slow"": 0.6126039972739028, ""lane_conf_thr"": 0.6870472249593258, ""canny_scale"": 1.1779052977752535, ""hough_threshold"": 25, ""diag_roi_row_start"": 0.6309277410743513}",53.690521,78.943545
2025-10-15T06:32:17.784360Z,GA,Vision-8,28,0,"{""lane_kp_off"": 0.32814498213091275, ""lane_kp_head"": 0.0, ""lane_kp_curv"": 0.1690258928598628, ""curv_thr_slow"": 0.8458504808657838, ""lane_conf_thr"": 0.6398364632677789, ""canny_scale"": 1.1621263092561003, ""hough_threshold"": 19, ""diag_roi_row_start"": 0.5847178838444754}",64.324075,78.943545
