run_id,variance,cv,label
0,3.277470954335994,0.014490096294364435,GA
1,0.0,0.0,GA
2,14.975315277232172,0.028134865825631395,GA
3,1.8175355256292112e-27,3.5299932303725317e-16,GA
4,3.6376688773409818,0.013790384149234627,GA
5,0.0,0.0,GA
6,7.5495265188656,0.02103606236052625,GA
7,0.6183129828099974,0.00623226795836626,GA
8,8.077935669463161e-28,2.1984688662974525e-16,GA
9,8.077935669463161e-28,2.1618831512500541e-16,GA
10,0.41092612117355726,0.005277973791528911,GA
11,1.4915754461404025,0.0098018030328083,GA
12,8.077935669463161e-28,2.1731289839024873e-16,GA
13,3.2311742677852644e-27,4.327199166189432e-16,GA
14,11.998206189799001,0.027829079650257972,GA
0,2.0194839173657902e-28,1.150371921384086e-16,BO
1,1.5626107552159598,0.010565544657729097,BO
2,2.0194839173657902e-28,1.1696930522520094e-16,BO
3,20.86847079497445,0.035844413708519304,BO
4,1.8175355256292112e-27,3.5213750547765577e-16,BO
5,13.65021963695285,0.032483305230403874,BO
6,6.184030111300201,0.019140444697874976,BO
7,0.25695897650820676,0.0042074298767881355,BO
8,3.2070282202462024,0.014877426367619077,BO
9,2.0194839173657902e-28,1.3188739045282934e-16,BO
10,0.0,0.0,BO
11,8.077935669463161e-28,2.4221608206977004e-16,BO
12,2.0194839173657902e-28,1.1271888369552865e-16,BO
13,8.077935669463161e-28,2.2020330787305538e-16,BO
14,0.0,0.0,BO
