run_id,variance,cv,label
0,2.0194839173657902e-28,1.7878018777234428e-16,GA
1,0.0,0.0,GA
2,0.8506047245879527,0.011469629390804688,GA
3,8.077935669463161e-28,3.4811110536490975e-16,GA
4,8.077935669463161e-28,3.353128828498814e-16,GA
5,0.0,0.0,GA
6,8.077935669463161e-28,3.4283199602604197e-16,GA
7,2.0194839173657902e-28,1.6736710138041643e-16,GA
8,1.8175355256292112e-27,5.150741171070367e-16,GA
9,8.077935669463161e-28,3.547931864931244e-16,GA
10,0.08087732554689148,0.003512077779345872,GA
11,0.4176165600799965,0.007896008408218181,GA
12,8.077935669463161e-28,3.5401671053188067e-16,GA
13,1.8175355256292112e-27,5.249435595941148e-16,GA
14,8.077935669463161e-28,3.536420461424348e-16,GA
0,0.0,0.0,BO
1,0.0,0.0,BO
2,1.8175355256292112e-27,5.202821454203768e-16,BO
3,2.0194839173657902e-28,1.760425167675306e-16,BO
4,0.010011406120816321,0.001265338082838145,BO
5,2.0194839173657902e-28,1.6717292211882012e-16,BO
6,1.0950383966360502,0.01256720799177205,BO
7,2.0194839173657902e-28,1.7645898922773354e-16,BO
8,2.0194839173657902e-28,1.7491588836795978e-16,BO
9,2.0194839173657902e-28,1.732693927078213e-16,BO
10,8.077935669463161e-28,2.965012291793075e-16,BO
11,2.0194839173657902e-28,1.6398385008778035e-16,BO
12,1.8175355256292112e-27,4.871759100414708e-16,BO
13,2.0194839173657902e-28,1.696823356256106e-16,BO
14,1.8175355256292112e-27,5.1700639101287655e-16,BO
